rank	alpha	beta	gamma	tau_min	tau_max	p	kappa	test_loss	train_loss	test_sim	train_sim	test_avg_len	train_avg_len	urgent_loss	nonurgent_loss
1	0.2	0.1	0.1	8	40	3	0.3	0.6884	0.7042	0.1028	0.1024	84.1	82.5	1.0713	0.2767
2	0.2	0.1	0.1	5	40	3	0.3	0.6887	0.7045	0.1028	0.1024	84.1	82.5	1.0719	0.2767
3	0.2	0.1	0.1	3	40	3	0.3	0.6889	0.7047	0.1028	0.1024	84.1	82.5	1.0723	0.2767
4	0.2	0.1	0.1	8	40	2	0.3	0.6895	0.7054	0.1028	0.1024	84.1	82.5	1.0735	0.2767
5	0.2	0.1	0.1	5	40	2	0.3	0.6898	0.7058	0.1028	0.1024	84.1	82.5	1.0743	0.2767
6	0.2	0.1	0.1	3	40	2	0.3	0.6901	0.7061	0.1028	0.1024	84.1	82.5	1.0748	0.2767
7	0.2	0.1	0.1	8	40	1	0.3	0.6914	0.7077	0.1028	0.1024	84.1	82.5	1.0776	0.2767
8	0.2	0.1	0.1	5	40	1	0.3	0.6921	0.7084	0.1028	0.1024	84.1	82.5	1.0789	0.2767
9	0.2	0.1	0.1	3	40	1	0.3	0.6925	0.7088	0.1028	0.1024	84.1	82.5	1.0797	0.2767
10	0.2	0.2	0.1	8	40	3	0.3	0.7781	0.7939	0.1028	0.1024	84.1	82.5	1.1589	0.3689
11	0.3	0.1	0.1	8	40	3	0.3	0.7781	0.7939	0.1028	0.1024	84.1	82.5	1.1589	0.3689
12	0.2	0.2	0.1	5	40	3	0.3	0.7784	0.7943	0.1028	0.1024	84.1	82.5	1.1595	0.3689
13	0.3	0.1	0.1	5	40	3	0.3	0.7784	0.7943	0.1028	0.1024	84.1	82.5	1.1595	0.3689
14	0.2	0.2	0.1	3	40	3	0.3	0.7786	0.7945	0.1028	0.1024	84.1	82.5	1.1599	0.3689
15	0.3	0.1	0.1	3	40	3	0.3	0.7786	0.7945	0.1028	0.1024	84.1	82.5	1.1599	0.3689
16	0.2	0.2	0.1	8	40	2	0.3	0.7792	0.7952	0.1028	0.1024	84.1	82.5	1.1611	0.3689
17	0.3	0.1	0.1	8	40	2	0.3	0.7792	0.7952	0.1028	0.1024	84.1	82.5	1.1611	0.3689
18	0.2	0.2	0.1	5	40	2	0.3	0.7796	0.7956	0.1028	0.1024	84.1	82.5	1.1618	0.3689
19	0.3	0.1	0.1	5	40	2	0.3	0.7796	0.7956	0.1028	0.1024	84.1	82.5	1.1618	0.3689
20	0.2	0.2	0.1	3	40	2	0.3	0.7798	0.7959	0.1028	0.1024	84.1	82.5	1.1624	0.3689
21	0.3	0.1	0.1	3	40	2	0.3	0.7798	0.7959	0.1028	0.1024	84.1	82.5	1.1624	0.3689
22	0.2	0.2	0.1	8	40	1	0.3	0.7812	0.7974	0.1028	0.1024	84.1	82.5	1.1652	0.3689
23	0.3	0.1	0.1	8	40	1	0.3	0.7812	0.7974	0.1028	0.1024	84.1	82.5	1.1652	0.3689
24	0.2	0.2	0.1	5	40	1	0.3	0.7818	0.7981	0.1028	0.1024	84.1	82.5	1.1664	0.3689
25	0.3	0.1	0.1	5	40	1	0.3	0.7818	0.7981	0.1028	0.1024	84.1	82.5	1.1664	0.3689
26	0.2	0.2	0.1	3	40	1	0.3	0.7822	0.7986	0.1028	0.1024	84.1	82.5	1.1673	0.3689
27	0.3	0.1	0.1	3	40	1	0.3	0.7822	0.7986	0.1028	0.1024	84.1	82.5	1.1673	0.3689
28	0.2	0.1	0.1	8	30	3	0.3	0.8099	0.8259	0.1028	0.1024	84.1	82.5	1.3001	0.2767
29	0.2	0.1	0.1	5	30	3	0.3	0.8102	0.8262	0.1028	0.1024	84.1	82.5	1.3006	0.2767
30	0.2	0.1	0.1	3	30	3	0.3	0.8103	0.8264	0.1028	0.1024	84.1	82.5	1.301	0.2767
31	0.2	0.1	0.1	8	30	2	0.3	0.8105	0.8266	0.1028	0.1024	84.1	82.5	1.3014	0.2767
32	0.2	0.1	0.1	5	30	2	0.3	0.8109	0.827	0.1028	0.1024	84.1	82.5	1.3021	0.2767
33	0.2	0.1	0.1	3	30	2	0.3	0.8111	0.8273	0.1028	0.1024	84.1	82.5	1.3026	0.2767
34	0.2	0.1	0.1	8	30	1	0.3	0.8117	0.828	0.1028	0.1024	84.1	82.5	1.3039	0.2767
35	0.2	0.1	0.1	5	30	1	0.3	0.8124	0.8287	0.1028	0.1024	84.1	82.5	1.3052	0.2767
36	0.2	0.1	0.1	3	30	1	0.3	0.8128	0.8292	0.1028	0.1024	84.1	82.5	1.3061	0.2767
37	0.2	0.3	0.1	8	40	3	0.3	0.8678	0.8837	0.1028	0.1024	84.1	82.5	1.2464	0.4611
38	0.3	0.2	0.1	8	40	3	0.3	0.8678	0.8837	0.1028	0.1024	84.1	82.5	1.2464	0.4611
39	0.4	0.1	0.1	8	40	3	0.3	0.8678	0.8837	0.1028	0.1024	84.1	82.5	1.2464	0.4611
40	0.2	0.3	0.1	5	40	3	0.3	0.8681	0.884	0.1028	0.1024	84.1	82.5	1.247	0.4611
41	0.3	0.2	0.1	5	40	3	0.3	0.8681	0.884	0.1028	0.1024	84.1	82.5	1.247	0.4611
42	0.4	0.1	0.1	5	40	3	0.3	0.8681	0.884	0.1028	0.1024	84.1	82.5	1.247	0.4611
43	0.2	0.3	0.1	3	40	3	0.3	0.8683	0.8843	0.1028	0.1024	84.1	82.5	1.2474	0.4611
44	0.3	0.2	0.1	3	40	3	0.3	0.8683	0.8843	0.1028	0.1024	84.1	82.5	1.2474	0.4611
45	0.4	0.1	0.1	3	40	3	0.3	0.8683	0.8843	0.1028	0.1024	84.1	82.5	1.2474	0.4611
46	0.2	0.3	0.1	8	40	2	0.3	0.8689	0.8849	0.1028	0.1024	84.1	82.5	1.2486	0.4611
47	0.3	0.2	0.1	8	40	2	0.3	0.8689	0.8849	0.1028	0.1024	84.1	82.5	1.2486	0.4611
48	0.4	0.1	0.1	8	40	2	0.3	0.8689	0.8849	0.1028	0.1024	84.1	82.5	1.2486	0.4611
49	0.2	0.3	0.1	5	40	2	0.3	0.8693	0.8853	0.1028	0.1024	84.1	82.5	1.2494	0.4611
50	0.3	0.2	0.1	5	40	2	0.3	0.8693	0.8853	0.1028	0.1024	84.1	82.5	1.2494	0.4611
